percentCovered	fragmentsCovered	fragmentsAssigned	rankCode	ncbiID	name
  0.00	0	0	S	260915	                    Wolbachia endosymbiont of Drosophila yakuba
  0.00	0	0	S	246273	                    Wolbachia endosymbiont of Cimex lectularius
  0.00	0	0	S	2591635	                    Wolbachia endosymbiont of Carposina sasakii
  0.00	0	0	S	215173	                    Wolbachia endosymbiont of Bemisia tabaci
  0.00	0	0	S	183754	                    Wolbachia endosymbiont of Ostrinia scapulalis
  0.00	0	0	S	169402	                    Wolbachia endosymbiont of Folsomia candida
  0.00	0	0	S	167957	                    Wolbachia endosymbiont of Aedes albopictus
  0.00	0	0	S	163164	                    Wolbachia endosymbiont of Drosophila melanogaster
  0.00	0	0	S	154048	                    Wolbachia endosymbiont of Ostrinia furnacalis
  0.00	0	0	S	125593	                    Wolbachia endosymbiont of Trichogramma pretiosum
  0.00	0	0	S	116598	                    Wolbachia endosymbiont of Diaphorina citri
  0.00	0	0	S	109663	                    Wolbachia endosymbiont of Drosophila mauritiana
  0.00	0	0	S	100901	                    Wolbachia endosymbiont of Onchocerca ochengi
  0.00	0	0	S	96495	                    Wolbachia endosymbiont of Brugia pahangi
  0.00	0	0	S	80850	                    Wolbachia endosymbiont of Litomosoides sigmodontis
  0.00	0	0	S	80849	                    Wolbachia endosymbiont of Brugia malayi
  0.00	0	0	S1	292805	                      Wolbachia endosymbiont strain TRS of Brugia malayi
  0.00	0	0	S	77551	                    Wolbachia endosymbiont of Onchocerca volvulus
  0.00	0	0	S1	1410384	                      Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon
  0.00	0	0	S	2953979	                    Wolbachia endosymbiont (group A) of Anoplius nigerrimus
  0.00	0	0	S	2953995	                    Wolbachia endosymbiont (group A) of Cheilosia soror
  0.00	0	0	S	77038	                    Wolbachia endosymbiont of Drosophila simulans
  0.00	0	0	S1	1236909	                      Wolbachia endosymbiont of Drosophila simulans wHa
  0.00	0	0	S	2953993	                    Wolbachia endosymbiont (group B) of Catoptria pinella
  0.00	0	0	S	2953991	                    Wolbachia endosymbiont (group B) of Camptogramma bilineatum
  0.00	0	0	S	2953990	                    Wolbachia endosymbiont (group B) of Campaea margaritaria
  0.00	0	0	S	2953989	                    Wolbachia endosymbiont (group A) of Calamotropha paludella
  0.00	0	0	S	2953988	                    Wolbachia endosymbiont (group A) of Bombylius major
  0.00	0	0	S	2953987	                    Wolbachia endosymbiont (group A) of Bibio marci
  0.00	0	0	S	2953986	                    Wolbachia endosymbiont (group B) of Athalia cordata
  0.00	0	0	S	2953984	                    Wolbachia endosymbiont (group B) of Archips podanus
  0.00	0	0	S	2953983	                    Wolbachia endosymbiont (group B) of Apotomis turbidana
  0.00	0	0	S	2953982	                    Wolbachia endosymbiont (group B) of Apotomis betuletana
  0.00	0	0	S	2953981	                    Wolbachia endosymbiont (group B) of Aporia crataegi
  0.00	0	0	S	2953980	                    Wolbachia endosymbiont (group A) of Apoderus coryli
  0.00	0	0	S	2953997	                    Wolbachia endosymbiont (group B) of Chorthippus parallelus
  0.00	0	0	S	2953978	                    Wolbachia endosymbiont (group A) of Anomoia purmunda
  0.00	0	0	S	2953976	                    Wolbachia endosymbiont (group A) of Andrena haemorrhoa
  0.00	0	0	S	2953975	                    Wolbachia endosymbiont (group A) of Andrena dorsata
  0.00	0	0	S	2953974	                    Wolbachia endosymbiont (group A) of Ancistrocerus nigricornis
  0.00	0	0	S	2953971	                    Wolbachia endosymbiont (group A) of Acrocera orbiculus
  0.00	0	0	S	2902422	                    Wolbachia endosymbiont of Frankliniella intonsa
  0.00	0	0	S	2886377	                    Wolbachia endosymbiont of Phyllotreta cruciferae
  0.00	0	0	S	2883238	                    Wolbachia endosymbiont of Chironomus riparius
  0.00	0	0	S	2883236	                    Wolbachia endosymbiont of Psylliodes chrysocephala
  0.00	0	0	S	2769078	                    Wolbachia endosymbiont of Spodoptera picta
  0.00	0	0	S	2748871	                    Wolbachia endosymbiont of Anopheles demeilloni
  0.00	0	0	S	2742717	                    Wolbachia endosymbiont of Wiebesia pumilae
  0.00	0	0	S	2732594	                    Wolbachia endosymbiont of Ctenocephalides felis wCfeJ
  0.00	0	0	S	2603209	                    Wolbachia endosymbiont of Zaprionus tsacasi
  0.00	0	0	S	955	                  Wolbachia pipientis
  0.00	0	0	S	1845000	                  Candidatus Wolbachia massiliensis
